year,country,location,tests
1977,China,atmosphere,1
1977,China,underground,0
1977,France,atmosphere,0
1977,France,underground,9
1977,India,atmosphere,0
1977,India,underground,0
1977,North Korea,atmosphere,0
1977,North Korea,underground,0
1977,Pakistan,atmosphere,0
1977,Pakistan,underground,0
1977,Russia,atmosphere,0
1977,Russia,underground,24
1977,United Kingdom,atmosphere,0
1977,United Kingdom,underground,0
1977,United States,atmosphere,0
1977,United States,underground,20
1978,China,atmosphere,2
1978,China,underground,1
1978,France,atmosphere,0
1978,France,underground,11
1978,India,atmosphere,0
1978,India,underground,0
1978,North Korea,atmosphere,0
1978,North Korea,underground,0
1978,Pakistan,atmosphere,0
1978,Pakistan,underground,0
1978,Russia,atmosphere,0
1978,Russia,underground,31
1978,United Kingdom,atmosphere,0
1978,United Kingdom,underground,2
1978,United States,atmosphere,0
1978,United States,underground,19
1979,China,atmosphere,1
1979,China,underground,0
1979,France,atmosphere,0
1979,France,underground,10
1979,India,atmosphere,0
1979,India,underground,0
1979,North Korea,atmosphere,0
1979,North Korea,underground,0
1979,Pakistan,atmosphere,0
1979,Pakistan,underground,0
1979,Russia,atmosphere,0
1979,Russia,underground,31
1979,United Kingdom,atmosphere,0
1979,United Kingdom,underground,1
1979,United States,atmosphere,0
1979,United States,underground,15
1980,China,atmosphere,1
1980,China,underground,0
1980,France,atmosphere,0
1980,France,underground,12
1980,India,atmosphere,0
1980,India,underground,0
1980,North Korea,atmosphere,0
1980,North Korea,underground,0
1980,Pakistan,atmosphere,0
1980,Pakistan,underground,0
1980,Russia,atmosphere,0
1980,Russia,underground,24
1980,United Kingdom,atmosphere,0
1980,United Kingdom,underground,3
1980,United States,atmosphere,0
1980,United States,underground,14
1981,China,atmosphere,0
1981,China,underground,0
1981,France,atmosphere,0
1981,France,underground,12
1981,India,atmosphere,0
1981,India,underground,0
1981,North Korea,atmosphere,0
1981,North Korea,underground,0
1981,Pakistan,atmosphere,0
1981,Pakistan,underground,0
1981,Russia,atmosphere,0
1981,Russia,underground,21
1981,United Kingdom,atmosphere,0
1981,United Kingdom,underground,1
1981,United States,atmosphere,0
1981,United States,underground,16
1982,China,atmosphere,0
1982,China,underground,1
